0020 -> 8359 :   -> 荙
00E1 -> 7470 : á -> 瑰
00E2 -> 6AD4 : â -> 櫔
00E3 -> 3BA2 : ã -> 㮢
00E4 -> 3A25 : ä -> 㨥
00E5 -> 6609 : å -> 昉
00E6 -> 880F : æ -> 蠏
00E7 -> 7D6A : ç -> 絪
00E8 -> 7911 : è -> 礑
00E9 -> 7653 : é -> 癓
00EA -> 68E7 : ê -> 棧
00EB -> 62BE : ë -> 抾
00EC -> 6F2D : ì -> 漭
00ED -> 43EB : í -> 䏫
00EE -> 72CD : î -> 狍
00EF -> 9AE7 : ï -> 髧
00F0 -> 5C5D : ð -> 屝
00F1 -> 97BA : ñ -> 鞺
00F2 -> 754A : ò -> 畊
00F3 -> 3C63 : ó -> 㱣
00F4 -> 5DA7 : ô -> 嶧
00F5 -> 46AC : õ -> 䚬
00F6 -> 5C03 : ö -> 尃
00F7 -> 429A : ÷ -> 䊚
00F8 -> 907F : ø -> 避
00F9 -> 3935 : ù -> 㤵
00FA -> 88AC : ú -> 袬
00FB -> 9F15 : û -> 鼕
00FC -> 8148 : ü -> 腈
00FD -> 8238 : ý -> 舸
00FE -> 5972 : þ -> 奲
00FF -> 8368 : ÿ -> 荨
0101 -> 6FF8 : ā -> 濸
0113 -> 4EF1 : ē -> 仱
011B -> 3FBF : ě -> 㾿
012B -> 49DD : ī -> 䧝
0144 -> 8804 : ń -> 蠄
0148 -> 4B13 : ň -> 䬓
014D -> 3E9F : ō -> 㺟
0152 -> 69DA : Œ -> 槚
0153 -> 46EA : œ -> 䛪
0160 -> 7172 : Š -> 煲
0161 -> 48A7 : š -> 䢧
016B -> 7B66 : ū -> 筦
0178 -> 4D49 : Ÿ -> 䵉
0192 -> FE54 : ƒ -> ﹔
01CE -> 6E0C : ǎ -> 渌
01D0 -> 4273 : ǐ -> 䉳
01D2 -> 9505 : ǒ -> 锅
01D4 -> FF53 : ǔ -> ｓ
01D6 -> 3E7E : ǖ -> 㹾
01D8 -> 615C : ǘ -> 慜
01DA -> 3DBF : ǚ -> 㶿
01DC -> 4478 : ǜ -> 䑸
01F9 -> 5FEF : ǹ -> 忯
0251 -> 62B0 : ɑ -> 抰
0261 -> 560E : ɡ -> 嘎
02C6 -> 7C80 : ˆ -> 粀
02C7 -> 7169 : ˇ -> 煩
02C9 -> 8EE7 : ˉ -> 軧
02CA -> 345D : ˊ -> 㑝
02CB -> 9C5F : ˋ -> 鱟
02D9 -> 7592 : ˙ -> 疒
02DC -> 2176 : ˜ -> ⅶ
0391 -> 836F : Α -> 药
0392 -> 3767 : Β -> 㝧
0393 -> 91E9 : Γ -> 釩
0394 -> 9159 : Δ -> 酙
0395 -> 8504 : Ε -> 蔄
0396 -> 57F5 : Ζ -> 埵
0397 -> 86A9 : Η -> 蚩
0398 -> 48B0 : Θ -> 䢰
0399 -> 99BB : Ι -> 馻
039A -> 604C : Κ -> 恌
039B -> 5316 : Λ -> 化
039C -> 4C41 : Μ -> 䱁
039D -> 9DBE : Ν -> 鶾
039E -> 5E12 : Ξ -> 帒
039F -> 5BF3 : Ο -> 寳
03A0 -> 39EB : Π -> 㧫
03A1 -> 8F76 : Ρ -> 轶
03A3 -> 7552 : Σ -> 畒
03A4 -> 9EC6 : Τ -> 黆
03A5 -> 55F7 : Υ -> 嗷
03A6 -> 3C93 : Φ -> 㲓
03A7 -> 35B4 : Χ -> 㖴
03A8 -> 70B2 : Ψ -> 炲
03A9 -> 3526 : Ω -> 㔦
03B1 -> 7E4D : α -> 繍
03B2 -> 9C15 : β -> 鰕
03B3 -> 7885 : γ -> 碅
03B4 -> 8892 : δ -> 袒
03B5 -> 8ECB : ε -> 軋
03B6 -> 9983 : ζ -> 馃
03B7 -> 94EE : η -> 铮
03B8 -> 7E64 : θ -> 繤
03B9 -> 5A69 : ι -> 婩
03BA -> 7C71 : κ -> 籱
03BB -> 792E : λ -> 礮
03BC -> 4390 : μ -> 䎐
03BD -> 8C7E : ν -> 豾
03BE -> 5786 : ξ -> 垆
03BF -> 4CB1 : ο -> 䲱
03C0 -> 496F : π -> 䥯
03C1 -> 38E0 : ρ -> 㣠
03C3 -> 785E : σ -> 硞
03C4 -> 41F2 : τ -> 䇲
03C5 -> 5FAD : υ -> 徭
03C6 -> 9A00 : φ -> 騀
03C7 -> 97DF : χ -> 韟
03C8 -> 4F4C : ψ -> 佌
03C9 -> 8477 : ω -> 葷
0401 -> 4578 : Ё -> 䕸
0410 -> 60D3 : А -> 惓
0411 -> 7663 : Б -> 癣
0412 -> 6F65 : В -> 潥
0413 -> 50A8 : Г -> 储
0414 -> 8699 : Д -> 蚙
0415 -> 6FEC : Е -> 濬
0416 -> 38C6 : Ж -> 㣆
0417 -> 3FC4 : З -> 㿄
0418 -> 65F8 : И -> 旸
0419 -> 51CA : Й -> 凊
041A -> 8DD3 : К -> 跓
041B -> 56B7 : Л -> 嚷
041C -> 9763 : М -> 靣
041D -> 8590 : Н -> 薐
041E -> 92CA : О -> 鋊
041F -> 4697 : П -> 䚗
0420 -> 3CF2 : Р -> 㳲
0421 -> 7D06 : С -> 紆
0422 -> 0028 : Т -> (
0423 -> 8F77 : У -> 轷
0424 -> 8824 : Ф -> 蠤
0425 -> 00E9 : Х -> é
0426 -> 6426 : Ц -> 搦
0427 -> 6FAB : Ч -> 澫
0428 -> 4929 : Ш -> 䤩
0429 -> 7DDB : Щ -> 緛
042A -> 31D6 : Ъ -> ㇖
042B -> 7B50 : Ы -> 筐
042C -> 77E7 : Ь -> 矧
042D -> 3656 : Э -> 㙖
042E -> 6162 : Ю -> 慢
042F -> 38D4 : Я -> 㣔
0430 -> 5967 : а -> 奧
0431 -> 368E : б -> 㚎
0432 -> 8D64 : в -> 赤
0433 -> 8DEB : г -> 跫
0434 -> 2496 : д -> ⒖
0435 -> 9D74 : е -> 鵴
0436 -> 7F0B : ж -> 缋
0437 -> 49D2 : з -> 䧒
0438 -> 8CC0 : и -> 賀
0439 -> 6220 : й -> 戠
043A -> 91E2 : к -> 釢
043B -> 7094 : л -> 炔
043C -> 50E4 : м -> 僤
043D -> 5E4D : н -> 幍
043E -> 7205 : о -> 爅
043F -> 59D3 : п -> 姓
0440 -> 6DB6 : р -> 涶
0441 -> 4D57 : с -> 䵗
0442 -> 5FE6 : т -> 忦
0443 -> 8F1D : у -> 輝
0444 -> 50FC : ф -> 僼
0445 -> 903F : х -> 逿
0446 -> 4347 : ц -> 䍇
0447 -> 5634 : ч -> 嘴
0448 -> 9EC8 : ш -> 黈
0449 -> 524D : щ -> 前
044A -> 760E : ъ -> 瘎
044B -> 042B : ы -> Ы
044C -> 6414 : ь -> 搔
044D -> 4FD1 : э -> 俑
044E -> 6BB2 : ю -> 殲
044F -> 7E38 : я -> 縸
0451 -> 6331 : ё -> 挱
2010 -> 4196 : ‐ -> 䆖
2013 -> 60E0 : – -> 惠
2014 -> 6C9A : — -> 沚
2015 -> 3DF7 : ― -> 㷷
2016 -> 8491 : ‖ -> 蒑
2018 -> 7458 : ‘ -> 瑘
2019 -> 0038 : ’ -> 8
201A -> 7666 : ‚ -> 癦
201C -> 9E8A : “ -> 麊
201D -> 9098 : ” -> 邘
201E -> 98DF : „ -> 食
2020 -> 9F5E : † -> 齞
2021 -> 8C3E : ‡ -> 谾
2022 -> 7BB2 : • -> 箲
2025 -> 4C68 : ‥ -> 䱨
2026 -> 899C : … -> 覜
2030 -> 55A4 : ‰ -> 喤
2032 -> 9FDC : ′ -> 鿜
2033 -> 9A36 : ″ -> 騶
2035 -> 6165 : ‵ -> 慥
2039 -> 9223 : ‹ -> 鈣
203A -> 3FA1 : › -> 㾡
203B -> 4B32 : ※ -> 䬲
20AC -> 854D : € -> 蕍
2103 -> 3512 : ℃ -> 㔒
2105 -> 5C66 : ℅ -> 屦
2109 -> 7609 : ℉ -> 瘉
2116 -> 43CC : № -> 䏌
2121 -> 681E : ℡ -> 栞
2122 -> 573C : ™ -> 圼
2160 -> 3415 : Ⅰ -> 㐕
2161 -> 4CD7 : Ⅱ -> 䳗
2162 -> 8DF6 : Ⅲ -> 跶
2163 -> 8C17 : Ⅳ -> 谗
2164 -> 94BC : Ⅴ -> 钼
2165 -> 8D2B : Ⅵ -> 贫
2166 -> 7DA5 : Ⅶ -> 綥
2167 -> 743B : Ⅷ -> 琻
2168 -> 48C5 : Ⅸ -> 䣅
2169 -> 601A : Ⅹ -> 怚
216A -> 5D7E : Ⅺ -> 嵾
216B -> 35A3 : Ⅻ -> 㖣
2170 -> 78A0 : ⅰ -> 碠
2171 -> 433C : ⅱ -> 䌼
2172 -> 4906 : ⅲ -> 䤆
2173 -> 884E : ⅳ -> 衎
2174 -> 480F : ⅴ -> 䠏
2175 -> 9C6F : ⅵ -> 鱯
2176 -> 3E42 : ⅶ -> 㹂
2177 -> 9E23 : ⅷ -> 鸣
2178 -> 4BCC : ⅸ -> 䯌
2179 -> 721F : ⅹ -> 爟
2190 -> 6F78 : ← -> 潸
2191 -> 931B : ↑ -> 錛
2192 -> 71D0 : → -> 燐
2193 -> 255D : ↓ -> ╝
2196 -> 5D57 : ↖ -> 嵗
2197 -> 86F2 : ↗ -> 蛲
2198 -> 505C : ↘ -> 停
2199 -> 8A71 : ↙ -> 話
2208 -> 39AF : ∈ -> 㦯
220F -> 866F : ∏ -> 虯
2211 -> 7A9F : ∑ -> 窟
2215 -> 81D6 : ∕ -> 臖
221A -> 50CE : √ -> 僎
221D -> 9923 : ∝ -> 餣
221E -> 9832 : ∞ -> 頲
221F -> 59F9 : ∟ -> 姹
2220 -> 8A38 : ∠ -> 訸
2223 -> 56DE : ∣ -> 回
2225 -> 52A8 : ∥ -> 动
2227 -> 89DB : ∧ -> 觛
2228 -> 31C4 : ∨ -> ㇄
2229 -> 9BF0 : ∩ -> 鯰
222A -> 8A5E : ∪ -> 詞
222B -> 3E36 : ∫ -> 㸶
222E -> 6FD8 : ∮ -> 濘
2234 -> 3D16 : ∴ -> 㴖
2235 -> 9F17 : ∵ -> 鼗
2236 -> 93AE : ∶ -> 鎮
2237 -> 7D09 : ∷ -> 紉
223D -> 8B52 : ∽ -> 譒
2248 -> 9553 : ≈ -> 镓
224C -> 8309 : ≌ -> 茉
2252 -> 3D46 : ≒ -> 㵆
2260 -> 3811 : ≠ -> 㠑
2261 -> 565A : ≡ -> 噚
2264 -> 5AEF : ≤ -> 嫯
2265 -> 7A31 : ≥ -> 稱
2266 -> 9BDA : ≦ -> 鯚
2267 -> 5EBC : ≧ -> 庼
226E -> 950D : ≮ -> 锍
226F -> 549D : ≯ -> 咝
2295 -> 9F21 : ⊕ -> 鼡
2299 -> 8E9E : ⊙ -> 躞
22A5 -> 5A52 : ⊥ -> 婒
22BF -> 5CBD : ⊿ -> 岽
2312 -> 3B54 : ⌒ -> 㭔
2460 -> 9242 : ① -> 鉂
2461 -> 4F21 : ② -> 伡
2462 -> 6B01 : ③ -> 欁
2463 -> 4CA4 : ④ -> 䲤
2464 -> 88C4 : ⑤ -> 裄
2465 -> 3A62 : ⑥ -> 㩢
2466 -> 8A51 : ⑦ -> 詑
2467 -> 80D0 : ⑧ -> 胐
2468 -> 8F92 : ⑨ -> 辒
2469 -> 7050 : ⑩ -> 灐
2474 -> 9806 : ⑴ -> 順
2475 -> 7709 : ⑵ -> 眉
2476 -> 42EA : ⑶ -> 䋪
2477 -> 203A : ⑷ -> ›
2478 -> 654E : ⑸ -> 敎
2479 -> 4ACB : ⑹ -> 䫋
247A -> 52DB : ⑺ -> 勛
247B -> 3BC2 : ⑻ -> 㯂
247C -> 6965 : ⑼ -> 楥
247D -> 4BBF : ⑽ -> 䮿
247E -> 9712 : ⑾ -> 霒
247F -> 3CBD : ⑿ -> 㲽
2480 -> 5B85 : ⒀ -> 宅
2481 -> 6F21 : ⒁ -> 漡
2482 -> 3D63 : ⒂ -> 㵣
2483 -> FF26 : ⒃ -> Ｆ
2484 -> 4A02 : ⒄ -> 䨂
2485 -> 53FE : ⒅ -> 叾
2486 -> 888F : ⒆ -> 袏
2487 -> 7808 : ⒇ -> 砈
2488 -> 374A : ⒈ -> 㝊
2489 -> 77BE : ⒉ -> 瞾
248A -> 96D7 : ⒊ -> 雗
248B -> 9168 : ⒋ -> 酨
248C -> 4EA7 : ⒌ -> 产
248D -> 679A : ⒍ -> 枚
248E -> 860F : ⒎ -> 蘏
248F -> 82B7 : ⒏ -> 芷
2490 -> 9710 : ⒐ -> 霐
2491 -> 77CE : ⒑ -> 矎
2492 -> 5803 : ⒒ -> 堃
2493 -> 5D3A : ⒓ -> 崺
2494 -> 3C7F : ⒔ -> 㱿
2495 -> 45B5 : ⒕ -> 䖵
2496 -> 83A5 : ⒖ -> 莥
2497 -> FF1D : ⒗ -> ＝
2498 -> 60A6 : ⒘ -> 悦
2499 -> 710A : ⒙ -> 焊
249A -> 7B14 : ⒚ -> 笔
249B -> 6511 : ⒛ -> 攑
2500 -> 836D : ─ -> 荭
2501 -> 6190 : ━ -> 憐
2502 -> 3654 : │ -> 㙔
2503 -> 7D6F : ┃ -> 絯
2504 -> 5343 : ┄ -> 千
2505 -> 60E8 : ┅ -> 惨
2506 -> 880E : ┆ -> 蠎
2507 -> 30A1 : ┇ -> ァ
2508 -> 6BCC : ┈ -> 毌
2509 -> 498C : ┉ -> 䦌
250A -> 7541 : ┊ -> 畁
250B -> 3AF5 : ┋ -> 㫵
250C -> 69E3 : ┌ -> 槣
250D -> 99BA : ┍ -> 馺
250E -> 5EFD : ┎ -> 廽
250F -> 7641 : ┏ -> 癁
2510 -> 9A6B : ┐ -> 驫
2511 -> 608C : ┑ -> 悌
2512 -> 3F5F : ┒ -> 㽟
2513 -> 9088 : ┓ -> 邈
2514 -> 4BDE : └ -> 䯞
2515 -> 6E81 : ┕ -> 溁
2516 -> 6C4F : ┖ -> 汏
2517 -> 6CC1 : ┗ -> 況
2518 -> 6074 : ┘ -> 恴
2519 -> 4E47 : ┙ -> 乇
251A -> 3B9F : ┚ -> 㮟
251B -> 44B0 : ┛ -> 䒰
251C -> 7AF4 : ├ -> 竴
251D -> 6BF3 : ┝ -> 毳
251E -> 642D : ┞ -> 搭
251F -> 3CD4 : ┟ -> 㳔
2520 -> 8D10 : ┠ -> 贐
2521 -> 8DD5 : ┡ -> 跕
2522 -> 65F5 : ┢ -> 旵
2523 -> 3463 : ┣ -> 㑣
2524 -> 4D13 : ┤ -> 䴓
2525 -> 41D2 : ┥ -> 䇒
2526 -> 9D84 : ┦ -> 鶄
2527 -> 9B13 : ┧ -> 鬓
2528 -> 988C : ┨ -> 颌
2529 -> 8992 : ┩ -> 覒
252A -> 7E89 : ┪ -> 纉
252B -> 5C8C : ┫ -> 岌
252C -> 5B5B : ┬ -> 孛
252D -> 94AA : ┭ -> 钪
252E -> 8B37 : ┮ -> 謷
252F -> 70A4 : ┯ -> 炤
2530 -> 96BA : ┰ -> 隺
2531 -> 804C : ┱ -> 职
2532 -> 4BBB : ┲ -> 䮻
2533 -> 7C66 : ┳ -> 籦
2534 -> 35F5 : ┴ -> 㗵
2535 -> 781B : ┵ -> 砛
2536 -> 37C2 : ┶ -> 㟂
2537 -> 69D4 : ┷ -> 槔
2538 -> 6149 : ┸ -> 慉
2539 -> 635A : ┹ -> 捚
253A -> 7D7E : ┺ -> 絾
253B -> 005D : ┻ -> ]
253C -> 5B12 : ┼ -> 嬒
253D -> 5036 : ┽ -> 倶
253E -> 3D78 : ┾ -> 㵸
253F -> 9387 : ┿ -> 鎇
2540 -> 730A : ╀ -> 猊
2541 -> 3773 : ╁ -> 㝳
2542 -> 6009 : ╂ -> 怉
2543 -> 565C : ╃ -> 噜
2544 -> 9106 : ╄ -> 鄆
2545 -> 8FB6 : ╅ -> 辶
2546 -> 86DE : ╆ -> 蛞
2547 -> 7100 : ╇ -> 焀
2548 -> 53EB : ╈ -> 叫
2549 -> 728F : ╉ -> 犏
254A -> 629D : ╊ -> 抝
254B -> 4105 : ╋ -> 䄅
2550 -> 6AE3 : ═ -> 櫣
2551 -> 34A6 : ║ -> 㒦
2552 -> 45DB : ╒ -> 䗛
2553 -> 4A05 : ╓ -> 䨅
2554 -> 65EE : ╔ -> 旮
2555 -> 7F09 : ╕ -> 缉
2556 -> 2541 : ╖ -> ╁
2557 -> 9A82 : ╗ -> 骂
2558 -> 6524 : ╘ -> 攤
2559 -> 72BC : ╙ -> 犼
255A -> 9969 : ╚ -> 饩
255B -> 3669 : ╛ -> 㙩
255C -> 94FC : ╜ -> 铼
255D -> 91C4 : ╝ -> 釄
255E -> 7838 : ╞ -> 砸
255F -> 7B54 : ╟ -> 答
2560 -> 9858 : ╠ -> 願
2561 -> 42C9 : ╡ -> 䋉
2562 -> 6870 : ╢ -> 桰
2563 -> 5CB7 : ╣ -> 岷
2564 -> 7B2F : ╤ -> 笯
2565 -> 643B : ╥ -> 搻
2566 -> 7D5B : ╦ -> 絛
2567 -> 9884 : ╧ -> 预
2568 -> 7A2A : ╨ -> 稪
2569 -> 45FB : ╩ -> 䗻
256A -> 5423 : ╪ -> 吣
256B -> 9A97 : ╫ -> 骗
256C -> 8B28 : ╬ -> 謨
256D -> 3770 : ╭ -> 㝰
256E -> 6DFC : ╮ -> 淼
256F -> 856B : ╯ -> 蕫
2570 -> 6631 : ╰ -> 昱
2571 -> 30D6 : ╱ -> ブ
2572 -> 6EED : ╲ -> 滭
2573 -> 00DC : ╳ -> Ü
2581 -> 9894 : ▁ -> 颔
2582 -> 3841 : ▂ -> 㡁
2583 -> 6089 : ▃ -> 悉
2584 -> 7C03 : ▄ -> 簃
2585 -> 79CD : ▅ -> 种
2586 -> 939E : ▆ -> 鎞
2587 -> 7289 : ▇ -> 犉
2588 -> 54E9 : █ -> 哩
2589 -> 8176 : ▉ -> 腶
258A -> 35FE : ▊ -> 㗾
258B -> 620F : ▋ -> 戏
258C -> 5296 : ▌ -> 劖
258D -> 304A : ▍ -> お
258E -> 423C : ▎ -> 䈼
258F -> 70A2 : ▏ -> 炢
2593 -> 7EAA : ▓ -> 纪
2594 -> 5649 : ▔ -> 噉
2595 -> 3734 : ▕ -> 㜴
25A0 -> 5FE5 : ■ -> 忥
25A1 -> 3B39 : □ -> 㬹
25B2 -> 6222 : ▲ -> 戢
25B3 -> 4B0B : △ -> 䬋
25BC -> 4E15 : ▼ -> 丕
25BD -> 7A30 : ▽ -> 稰
25C6 -> 9BB2 : ◆ -> 鮲
25C7 -> 989C : ◇ -> 颜
25CB -> 78F2 : ○ -> 磲
25CE -> 4632 : ◎ -> 䘲
25CF -> 9AA5 : ● -> 骥
25E2 -> 4FBE : ◢ -> 侾
25E3 -> 3092 : ◣ -> を
25E4 -> 625C : ◤ -> 扜
25E5 -> 5953 : ◥ -> 奓
2605 -> 701E : ★ -> 瀞
2606 -> 3491 : ☆ -> 㒑
2609 -> 955F : ☉ -> 镟
2640 -> 7C4D : ♀ -> 籍
2642 -> 555F : ♂ -> 啟
2E81 -> 81C3 : ⺁ -> 臃
2E84 -> 84CB : ⺄ -> 蓋
2E88 -> 3858 : ⺈ -> 㡘
2E8B -> 6348 : ⺋ -> 捈
2E8C -> 3D13 : ⺌ -> 㴓
2E97 -> 40B0 : ⺗ -> 䂰
2EA7 -> 34D6 : ⺧ -> 㓖
2EAA -> 5EDE : ⺪ -> 廞
2EAE -> 3553 : ⺮ -> 㕓
2EB3 -> 7834 : ⺳ -> 破
2EB6 -> 5F1F : ⺶ -> 弟
2EB7 -> 3501 : ⺷ -> 㔁
2EBB -> 8053 : ⺻ -> 聓
2ECA -> 7989 : ⻊ -> 禉
2FF0 -> 843E : ⿰ -> 萾
2FF1 -> 7923 : ⿱ -> 礣
2FF2 -> 3F80 : ⿲ -> 㾀
2FF3 -> 7C27 : ⿳ -> 簧
2FF4 -> 5C5E : ⿴ -> 属
2FF5 -> 568D : ⿵ -> 嚍
2FF6 -> 4CCF : ⿶ -> 䳏
2FF7 -> 72D3 : ⿷ -> 狓
2FF8 -> 58F8 : ⿸ -> 壸
2FF9 -> 72A8 : ⿹ -> 犨
2FFA -> 943A : ⿺ -> 鐺
2FFB -> 347A : ⿻ -> 㑺
2FFC -> 4C3B : ⿼ -> 䰻
2FFD -> 3F82 : ⿽ -> 㾂
2FFE -> 250E : ⿾ -> ┎
2FFF -> 9CDE : ⿿ -> 鳞
3000 -> 985B : 　 -> 顛
3001 -> 9E4F : 、 -> 鹏
3002 -> 999B : 。 -> 馛
3003 -> 7276 : 〃 -> 牶
3005 -> 684E : 々 -> 桎
3006 -> 3C6F : 〆 -> 㱯
3007 -> 8801 : 〇 -> 蠁
3008 -> 6376 : 〈 -> 捶
3009 -> 7BDB : 〉 -> 篛
300A -> 6BA7 : 《 -> 殧
300B -> 9912 : 》 -> 餒
300C -> 3775 : 「 -> 㝵
300D -> 487B : 」 -> 䡻
300E -> 403D : 『 -> 䀽
300F -> 3A68 : 』 -> 㩨
3010 -> 6802 : 【 -> 栂
3011 -> 3B22 : 】 -> 㬢
3012 -> 3659 : 〒 -> 㙙
3013 -> 4231 : 〓 -> 䈱
3014 -> 5FB0 : 〔 -> 徰
3015 -> 5015 : 〕 -> 倕
3016 -> 747E : 〖 -> 瑾
3017 -> 5A06 : 〗 -> 娆
301D -> 54DD : 〝 -> 哝
301E -> 4749 : 〞 -> 䝉
3021 -> 6958 : 〡 -> 楘
3022 -> 4733 : 〢 -> 䜳
3023 -> 7F84 : 〣 -> 羄
3024 -> 584D : 〤 -> 塍
3025 -> 70FF : 〥 -> 烿
3026 -> 8F4E : 〦 -> 轎
3027 -> 7453 : 〧 -> 瑓
3028 -> 9C4B : 〨 -> 鱋
3029 -> 3DCF : 〩 -> 㷏
303E -> 7197 : 〾 -> 熗
3041 -> 596C : ぁ -> 奬
3042 -> 91EE : あ -> 釮
3043 -> 7E49 : ぃ -> 繉
